Node Start,Node End,Stretch Length (km),Channel Type,Persistency Index (P_i),2024_03_09,2024_04_06,2024_04_20,2024_04_29,2024_05_04,2024_05_16,2024_05_29,2024_06_01,2024_06_03,2024_06_17,2024_06_29,2024_07_20,2024_07_24,2024_07_27,2024_07_29,2024_08_12,2024_08_21,2024_08_24,2024_08_26,2024_09_14,2024_09_18,2024_09_21,2024_09_23,2024_10_23,2024_11_23,2025_01_18,2025_04_05
50,51,0.361189,Lined,0.92,Not enough information,Not enough information,Disconnected,Disconnected,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Disconnected,Disconnected,Active,Active,Active,Active,Active,Active
51,g15,0.705239,Lined,0.9230769230769231,Not enough information,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Not Active,Not Active,Active,Active,Active,Active,Active,Active
52,g15,0.053596,Lined,0.7592592592592593,Active,Active,Active,Active,Active,Active,Active,Active,Active,Disconnected,Active,Disconnected,Active,Disconnected,Disconnected,Disconnected,Disconnected,Disconnected,Disconnected,Not Active,Not Active,Active,Active,Disconnected,Active,Active,Active
53,g10,0.640155,Lined,0.9629629629629629,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Disconnected,Disconnected,Active,Active,Active,Active,Active,Active
54,52,1.235399,Lined,0.4423076923076923,Active,Active,Active,Active,Active,Active,Disconnected,Disconnected,Active,Not Active,Disconnected,Not Active,Disconnected,Not Active,Not Active,Not Active,Not Active,Not Active,Not Active,Not Active,Not Active,Disconnected,Disconnected,Not Active,Disconnected,Not enough information,Active
55,57,0.818784,Natural,0.8269230769230769,Not enough information,Active,Disconnected,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Disconnected,Disconnected,Disconnected,Disconnected,Disconnected,Disconnected,Disconnected,Active,Disconnected,Active,Active,Active
56,g11,1.577231,Natural,0.9444444444444444,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Disconnected,Active,Active,Disconnected,Active,Active,Active,Active,Disconnected,Active,Active,Active
57,g11,1.047893,Natural,1,Not enough information,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active
58,59,1.138223,Natural,1,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active
59,60,1.133346,Natural-Lined,1,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active
60,g12,0.200335,Natural-Lined,1,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active
61,g12,0.036246,Natural,1,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active
62,61,0.318563,Natural,1,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active
63,g14,0.286312,Natural,1,Not enough information,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active
64,g14,0.138496,Natural,1,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active
66,g13,0.642511,Natural,0.9615384615384616,Active,Disconnected,Active,Not enough information,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Disconnected,Active,Active,Active,Active,Active,Active
67,68,1.352661,Natural,1,Not enough information,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active
68,g6,2.423604,Lined,1,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active
